title,media_type,collection,wikipedia_link
Birds in the Trap Sing McKnight,Music,Travis Scott,https://en.wikipedia.org/wiki/Birds_in_the_Trap_Sing_McKnight
Astroworld,Music,Travis Scott,https://en.wikipedia.org/wiki/Astroworld_(album)
Utopia,Music,Travis Scott,https://en.wikipedia.org/wiki/Utopia_(Travis_Scott_album)
JACKBOYS,Music,"JACKBOYS, Travis Scott",https://en.wikipedia.org/wiki/JackBoys
Highest in the Room,Music,Travis Scott,https://en.wikipedia.org/wiki/Highest_in_the_Room
The Scotts,Music,"The Scotts, Travis Scott, Kid Cudi",https://en.wikipedia.org/wiki/The_Scotts
Franchise,Music,Travis Scott,https://en.wikipedia.org/wiki/Franchise_(song)
Escape Plan,Music,Travis Scott,https://en.wikipedia.org/wiki/Escape_Plan_(song)
Mafia,Music,Travis Scott,https://en.wikipedia.org/wiki/Mafia_(Travis_Scott_song)
The College Dropout,Music,Kanye West,https://en.wikipedia.org/wiki/The_College_Dropout
Late Registration,Music,Kanye West,https://en.wikipedia.org/wiki/Late_Registration
Graduation,Music,Kanye West,https://en.wikipedia.org/wiki/Graduation_(album)
808s & Heartbreak,Music,Kanye West,https://en.wikipedia.org/wiki/808s_%26_Heartbreak
My Beautiful Dark Twisted Fantasy,Music,Kanye West,https://en.wikipedia.org/wiki/My_Beautiful_Dark_Twisted_Fantasy
Yeezus,Music,Kanye West,https://en.wikipedia.org/wiki/Yeezus
The Life of Pablo,Music,Kanye West,https://en.wikipedia.org/wiki/The_Life_of_Pablo
Ye,Music,Kanye West,https://en.wikipedia.org/wiki/Ye_(album)
Kids See Ghosts,Music,"Kids See Ghosts, Kanye West, Kid Cudi",https://en.wikipedia.org/wiki/Kids_See_Ghosts_(album)
Jesus Is King,Music,Kanye West,https://en.wikipedia.org/wiki/Jesus_Is_King
Donda,Music,Kanye West,https://en.wikipedia.org/wiki/Donda
Donda 2,Music,Kanye West,https://en.wikipedia.org/wiki/Donda_2
Vultures 1,Music,"¥$, Kanye West, Ty Dolla $ign",https://en.wikipedia.org/wiki/Vultures_1
Only One,Music,Kanye West,https://en.wikipedia.org/wiki/Only_One_(Kanye_West_song)
FourFiveSeconds,Music,"Rihanna, Kanye West, Paul McCartney",https://en.wikipedia.org/wiki/FourFiveSeconds
All Day,Music,Kanye West,https://en.wikipedia.org/wiki/All_Day_(Kanye_West_song)
Lift Yourself,Music,Kanye West,https://en.wikipedia.org/wiki/Lift_Yourself
XTCY,Music,Kanye West,https://en.wikipedia.org/wiki/XTCY
Wash Us in the Blood,Music,Kanye West,https://en.wikipedia.org/wiki/Wash_Us_in_the_Blood
Playboi Carti,Music,Playboi Carti,https://en.wikipedia.org/wiki/Playboi_Carti_(mixtape)
Die Lit,Music,Playboi Carti,https://en.wikipedia.org/wiki/Die_Lit
Whole Lotta Red,Music,Playboi Carti,https://en.wikipedia.org/wiki/Whole_Lotta_Red
Call Me If You Get Lost,Music,"Tyler, the Creator",https://en.wikipedia.org/wiki/Call_Me_If_You_Get_Lost
Igor,Music,"Tyler, the Creator",https://en.wikipedia.org/wiki/Igor_(album)
Flower Boy,Music,"Tyler, the Creator",https://en.wikipedia.org/wiki/Flower_Boy
Cherry Bomb,Music,"Tyler, the Creator",https://en.wikipedia.org/wiki/Cherry_Bomb_(album)
Wolf,Music,"Tyler, the Creator","https://en.wikipedia.org/wiki/Wolf_(Tyler,_the_Creator_album)"
Goblin,Music,"Tyler, the Creator",https://en.wikipedia.org/wiki/Goblin_(album)
Die For My Bitch,Music,Baby Keem,https://en.wikipedia.org/wiki/Die_for_My_Bitch
The Melodic Blue,Music,Baby Keem,https://en.wikipedia.org/wiki/The_Melodic_Blue
